Attribute,Attribute
Wildcard,Wildcard
"Spell Correction","Spell Correction"
"Match Mode","Match Mode"
Yes,Yes
No,No
Conditions,Conditions
"Rule won't work if no conditions are applied","Rule won't work if no conditions are applied"
button_label,button_label
"Successful! Test again?","Successful! Test again?"
"Connection failed! Test again?","Connection failed! Test again?"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Elasticsearch package is not installed. Please, run the following command in the SSH: composer require elasticsearch/elasticsearch ~5.1","Elasticsearch package is not installed. Please, run the following command in the SSH: composer require elasticsearch/elasticsearch ~5.1"
"Select Options","Select Options"
"Test connection can be applied only for Amasty Elastic Search engine.","Test connection can be applied only for Amasty Elastic Search engine."
"To use custom analyzer you have to install matching plugin","To use custom analyzer you have to install matching plugin"
"Please check the state of read_only_allow_delete setting in Elasticsearch server configuration.","Please check the state of read_only_allow_delete setting in Elasticsearch server configuration."
"Manage Relevance Rules","Manage Relevance Rules"
"%1 rule(s) was successfully removed","%1 rule(s) was successfully removed"
"Please select Relevance Rule(s)","Please select Relevance Rule(s)"
"This Relevance Rule is no longer exists.","This Relevance Rule is no longer exists."
"New Relevance Rule","New Relevance Rule"
"You have saved the Rule.","You have saved the Rule."
"Relevance Rule with the same term already exists in an associated store.","Relevance Rule with the same term already exists in an associated store."
"This Relevance Rule no longer exists.","This Relevance Rule no longer exists."
"Manage Stop Words","Manage Stop Words"
"%1 stop word(s) was successfully removed","%1 stop word(s) was successfully removed"
"Please select Stop Word(s)","Please select Stop Word(s)"
"Something wend wrong during saving file","Something wend wrong during saving file"
"Something went wrong. Please try again","Something went wrong. Please try again"
"%1 Stop Word(s) has been imported","%1 Stop Word(s) has been imported"
"This Stop Word no longer exists.","This Stop Word no longer exists."
"Edit Stop Word ""%1""","Edit Stop Word ""%1"""
"New Stop Word","New Stop Word"
"Import Stop Words","Import Stop Words"
"You have saved the Stop Word.","You have saved the Stop Word."
"A Stop Word with the same term already exists in an associated store.","A Stop Word with the same term already exists in an associated store."
"Manage Synonyms","Manage Synonyms"
"%1 synonym(s) was successfully removed","%1 synonym(s) was successfully removed"
"Please select Synonym(s)","Please select Synonym(s)"
"%1 Synonym(s) has been imported","%1 Synonym(s) has been imported"
"This Synonym no longer exists.","This Synonym no longer exists."
"Edit Synonym ""%1""","Edit Synonym ""%1"""
"New Synonym","New Synonym"
"Import Synonyms","Import Synonyms"
"You have saved the Synonym.","You have saved the Synonym."
"A Synonym with the same term already exists in an associated store.","A Synonym with the same term already exists in an associated store."
"Synonyms with special symbols only works on elasticsearch engine v6.0 or higher.","Synonyms with special symbols only works on elasticsearch engine v6.0 or higher."
"It is impossible to perform the search. Please make sure Elasticsearch Engine is installed on the server and configured properly.","It is impossible to perform the search. Please make sure Elasticsearch Engine is installed on the server and configured properly."
"Elasticsearch engine returned an error response. ","Elasticsearch engine returned an error response. "
"'item id: %1. Error type: ""%2"", reason ""%3""%4.' .","'item id: %1. Error type: ""%2"", reason ""%3""%4.' ."
"Elasticsearch index not found. Run ""bin/magento indexer:reindex catalogsearch_fulltext"".","Elasticsearch index not found. Run ""bin/magento indexer:reindex catalogsearch_fulltext""."
